                     index file runs obj_mean    obj_sd ttot_mean
2_100_12_10   2_100_12_10   10     40.5  1.957890      0.03
2_100_12_2     2_100_12_2   10     54.6  1.776388      0.05
2_100_12_20   2_100_12_20   10     41.0  1.490712      0.02
2_100_12_4     2_100_12_4   10     39.9  2.424413      0.02
2_100_12_50   2_100_12_50   10     40.1  2.078995      0.02
2_100_20_10   2_100_20_10   10     31.1  3.573047      0.02
2_100_20_2     2_100_20_2   10     53.0  1.054093      0.05
2_100_20_20   2_100_20_20   10     32.2  2.658320      0.01
2_100_20_4     2_100_20_4   10     35.7  1.636392      0.03
2_100_20_50   2_100_20_50   10     33.5  1.581139      0.02
2_100_4_10     2_100_4_10   10     62.6  2.065591      0.03
2_100_4_2       2_100_4_2   10     63.9  3.034981      0.04
2_100_4_20     2_100_4_20   10     61.9  2.282786      0.04
2_100_4_4       2_100_4_4   10     63.2  1.932184      0.05
2_100_4_50     2_100_4_50   10     60.9  2.183270      0.02
2_1000_12_10 2_1000_12_10   10    419.0  6.128259      8.31
2_1000_12_2   2_1000_12_2   10    544.3  5.100109    347.51
2_1000_12_20 2_1000_12_20   10    437.0  6.394442      3.41
2_1000_12_4   2_1000_12_4   10    413.2  5.977736    111.97
2_1000_12_50 2_1000_12_50   10    435.5  5.873670      1.35
2_1000_20_10 2_1000_20_10   10    317.9  8.157478      8.37
2_1000_20_2   2_1000_20_2   10    524.5  3.439961    341.00
2_1000_20_20 2_1000_20_20   10    348.4  7.366591      3.50
2_1000_20_4   2_1000_20_4   10    351.1  7.385421    105.37
2_1000_20_50 2_1000_20_50   10    355.4  4.971027      1.35
2_1000_4_10   2_1000_4_10   10    646.4  5.680376      9.24
2_1000_4_2     2_1000_4_2   10    652.5  8.488554    336.51
2_1000_4_20   2_1000_4_20   10    645.9  3.900142      3.42
2_1000_4_4     2_1000_4_4   10    642.5  6.222718    113.62
2_1000_4_50   2_1000_4_50   10    646.3  5.121849      1.34
2_2000_12_10 2_2000_12_10   10    839.1  9.182713    211.04
2_2000_12_2   2_2000_12_2   10      0.0  0.000000      0.00
2_2000_12_20 2_2000_12_20   10    876.4  4.742245     33.14
2_2000_12_4   2_2000_12_4   10      0.0  0.000000      0.00
2_2000_12_50 2_2000_12_50   10    876.4  4.718757     10.24
2_2000_20_10 2_2000_20_10   10    636.9 10.093452    209.61
2_2000_20_2   2_2000_20_2   10      0.0  0.000000      0.00
2_2000_20_20 2_2000_20_20   10    696.1  6.454112     30.09
2_2000_20_4   2_2000_20_4   10      0.0  0.000000      0.00
2_2000_20_50 2_2000_20_50   10    714.9  5.445691      9.15
2_2000_4_10   2_2000_4_10   10   1300.0  6.733003    185.47
2_2000_4_2     2_2000_4_2   10      0.0  0.000000      0.00
2_2000_4_20   2_2000_4_20   10   1299.8  7.315129     28.91
2_2000_4_4     2_2000_4_4   10      0.0  0.000000      0.00
2_2000_4_50   2_2000_4_50   10   1295.9  4.094712     10.15
2_500_12_10   2_500_12_10   10    207.1  5.043147      0.93
2_500_12_2     2_500_12_2   10    276.5  3.689324     23.87
2_500_12_20   2_500_12_20   10    215.3  2.110819      0.35
2_500_12_4     2_500_12_4   10    203.0  5.925463      3.04
2_500_12_50   2_500_12_50   10    216.0  3.231787      0.18
2_500_20_10   2_500_20_10   10    157.4  6.467010      0.87
2_500_20_2     2_500_20_2   10    264.9  2.846050     21.50
2_500_20_20   2_500_20_20   10    170.9  4.201851      0.32
2_500_20_4     2_500_20_4   10    175.5  2.953341      3.34
2_500_20_50   2_500_20_50   10    175.7  3.301515      0.16
2_500_4_10     2_500_4_10   10    320.9  3.928528      0.90
2_500_4_2       2_500_4_2   10    325.5  6.114645     22.54
2_500_4_20     2_500_4_20   10    323.0  2.943920      0.36
2_500_4_4       2_500_4_4   10    320.1  5.195083      2.68
2_500_4_50     2_500_4_50   10    319.3  3.860052      0.20
