                 index file runs obj_mean       obj_sd ttot_mean
2_100_12_10   2_100_12_10   10    131.2    45.391629         0
2_100_12_2     2_100_12_2   10     56.8     2.043961         0
2_100_12_20   2_100_12_20   10    128.8    57.576616         0
2_100_12_4     2_100_12_4   10     62.2     9.271222         0
2_100_12_50   2_100_12_50   10    100.0     4.082483         0
2_100_20_10   2_100_20_10   10     68.8    16.280868         0
2_100_20_2     2_100_20_2   10     54.5     1.581139         0
2_100_20_20   2_100_20_20   10    104.1    44.318168         0
2_100_20_4     2_100_20_4   10     42.6     4.273952         0
2_100_20_50   2_100_20_50   10     88.9     4.067486         0
2_100_4_10     2_100_4_10   10    109.3     5.229192         0
2_100_4_2       2_100_4_2   10     79.8     9.211104         0
2_100_4_20     2_100_4_20   10    110.5     5.522681         0
2_100_4_4       2_100_4_4   10    138.9    56.792899         0
2_100_4_50     2_100_4_50   10    109.1     4.483302         0
2_1000_12_10 2_1000_12_10   10  12836.8  4615.888064         0
2_1000_12_2   2_1000_12_2   10    564.6     8.896941         0
2_1000_12_20 2_1000_12_20   10   2961.8  2117.938243         0
2_1000_12_4   2_1000_12_4   10    828.7   103.689762         0
2_1000_12_50 2_1000_12_50   10   1113.9     8.786985         0
2_1000_20_10 2_1000_20_10   10   2404.4   542.020541         0
2_1000_20_2   2_1000_20_2   10    532.3     5.355164         0
2_1000_20_20 2_1000_20_20   10  14161.2  7653.418260         0
2_1000_20_4   2_1000_20_4   10    466.7    14.399460         0
2_1000_20_50 2_1000_20_50   10   1094.9   155.245648         0
2_1000_4_10   2_1000_4_10   10   1133.8    16.294512         0
2_1000_4_2     2_1000_4_2   10   1115.8   135.371752         0
2_1000_4_20   2_1000_4_20   10   1136.4    12.149074         0
2_1000_4_4     2_1000_4_4   10  22275.0 14763.339708         0
2_1000_4_50   2_1000_4_50   10   1136.1    15.176371         0
2_500_12_10   2_500_12_10   10   3121.8  1231.270329         0
2_500_12_2     2_500_12_2   10    288.0     5.557777         0
2_500_12_20   2_500_12_20   10    861.9   355.127348         0
2_500_12_4     2_500_12_4   10    388.5    42.492483         0
2_500_12_50   2_500_12_50   10    549.7     9.322017         0
2_500_20_10   2_500_20_10   10    867.7   212.470678         0
2_500_20_2     2_500_20_2   10    269.0     2.538591         0
2_500_20_20   2_500_20_20   10   1972.9  1359.263154         0
2_500_20_4     2_500_20_4   10    227.4    12.553884         0
2_500_20_50   2_500_20_50   10    549.7   102.467393         0
2_500_4_10     2_500_4_10   10    568.5     5.642104         0
2_500_4_2       2_500_4_2   10    518.7    55.363546         0
2_500_4_20     2_500_4_20   10    562.7     9.080504         0
2_500_4_4       2_500_4_4   10   3537.7  2525.329728         0
2_500_4_50     2_500_4_50   10    565.1     5.546771         0
