                     file runs obj_mean      obj_sd ttot_mean
2_100_12_10   2_100_12_10   10    194.9   34.426895         0
2_100_12_2     2_100_12_2   10    217.5   38.687494         0
2_100_12_20   2_100_12_20   10    112.1   21.522340         0
2_100_12_4     2_100_12_4   10    285.5   32.989055         0
2_100_12_50   2_100_12_50   10     58.3    6.634087         0
2_100_20_10   2_100_20_10   10    160.0   29.348481         0
2_100_20_2     2_100_20_2   10    156.2   36.181026         0
2_100_20_20   2_100_20_20   10    109.4   18.945536         0
2_100_20_4     2_100_20_4   10    215.6   26.974062         0
2_100_20_50   2_100_20_50   10     54.8    7.099296         0
2_100_4_10     2_100_4_10   10    218.6   34.000654         0
2_100_4_2       2_100_4_2   10    441.4   85.325781         0
2_100_4_20     2_100_4_20   10    111.5   14.894070         0
2_100_4_4       2_100_4_4   10    437.4  114.303883         0
2_100_4_50     2_100_4_50   10     68.3    6.733828         0
2_1000_12_10 2_1000_12_10   10  16166.6 1470.236882         0
2_1000_12_2   2_1000_12_2   10  18076.1 2162.661295         0
2_1000_12_20 2_1000_12_20   10  11091.8  783.934493         0
2_1000_12_4   2_1000_12_4   10  25413.9 1144.011990         0
2_1000_12_50 2_1000_12_50   10   3433.8  290.819455         0
2_1000_20_10 2_1000_20_10   10  12884.6  904.029768         0
2_1000_20_2   2_1000_20_2   10  10660.9 1064.865818         0
2_1000_20_20 2_1000_20_20   10   8845.9  875.744312         0
2_1000_20_4   2_1000_20_4   10  17566.8 1016.261427         0
2_1000_20_50 2_1000_20_50   10   3667.9  360.151959         0
2_1000_4_10   2_1000_4_10   10  20825.3  493.791015         0
2_1000_4_2     2_1000_4_2   10  43140.4 2101.982990         0
2_1000_4_20   2_1000_4_20   10   6829.6  460.449587         0
2_1000_4_4     2_1000_4_4   10  40914.4 4924.757212         0
2_1000_4_50   2_1000_4_50   10   1672.2   76.011403         0
2_500_12_10   2_500_12_10   10   3997.8  727.926706         0
2_500_12_2     2_500_12_2   10   4595.8  746.408705         0
2_500_12_20   2_500_12_20   10   2729.5  261.639383         0
2_500_12_4     2_500_12_4   10   6173.7  543.177902         0
2_500_12_50   2_500_12_50   10    879.1   99.643197         0
2_500_20_10   2_500_20_10   10   3205.3  496.375765         0
2_500_20_2     2_500_20_2   10   3013.2  398.327838         0
2_500_20_20   2_500_20_20   10   2111.4  385.958317         0
2_500_20_4     2_500_20_4   10   4423.7  413.910095         0
2_500_20_50   2_500_20_50   10    931.2  131.875194         0
2_500_4_10     2_500_4_10   10   5200.5  453.326042         0
2_500_4_2       2_500_4_2   10   9813.1 1038.016105         0
2_500_4_20     2_500_4_20   10   1760.6  192.869098         0
2_500_4_4       2_500_4_4   10   9831.6 1265.242638         0
2_500_4_50     2_500_4_50   10    497.8   66.166121         0
