                  index file runs    obj_mean        obj_sd ttot_mean
2_100_12_10   2_100_12_10   10      9380.8    309.949387         0
2_100_12_2     2_100_12_2   10     45379.8   1673.580712         0
2_100_12_20   2_100_12_20   10      5046.0    140.996454         0
2_100_12_4     2_100_12_4   10     22484.8    656.244670         0
2_100_12_50   2_100_12_50   10      2470.2     70.883002         0
2_100_20_10   2_100_20_10   10      5727.7    248.525898         0
2_100_20_2     2_100_20_2   10     28090.8   1053.396601         0
2_100_20_20   2_100_20_20   10      3094.2    147.079570         0
2_100_20_4     2_100_20_4   10     13699.4    527.094383         0
2_100_20_50   2_100_20_50   10      1485.3     46.377796         0
2_100_4_10     2_100_4_10   10     27551.7    440.429096         0
2_100_4_2       2_100_4_2   10    129499.2   2148.843038         0
2_100_4_20     2_100_4_20   10     15114.0    156.971335         0
2_100_4_4       2_100_4_4   10     65800.8   1597.527868         0
2_100_4_50     2_100_4_50   10      7457.7     87.549415         0
2_1000_12_10 2_1000_12_10   10   8426975.4  23064.600641         0
2_1000_12_2   2_1000_12_2   10  42033900.0 147941.830454         0
2_1000_12_20 2_1000_12_20   10   4252895.1  11812.307823         0
2_1000_12_4   2_1000_12_4   10  20957044.2  57230.788821         0
2_1000_12_50 2_1000_12_50   10   1748357.1   3832.695931         0
2_1000_20_10 2_1000_20_10   10   5060554.5  40957.025557         0
2_1000_20_2   2_1000_20_2   10  25320039.0 135465.722602         0
2_1000_20_20 2_1000_20_20   10   2551290.3  17637.941175         0
2_1000_20_4   2_1000_20_4   10  12606324.4  59121.758105         0
2_1000_20_50 2_1000_20_50   10   1046106.6   4773.519624         0
2_1000_4_10   2_1000_4_10   10  25254666.2  39284.507969         0
2_1000_4_2     2_1000_4_2   10 125572944.6 491646.309576         0
2_1000_4_20   2_1000_4_20   10  12761291.4  24959.696184         0
2_1000_4_4     2_1000_4_4   10  62786922.1 160731.503965         0
2_1000_4_50   2_1000_4_50   10   5247685.8   7667.015351         0
2_500_12_10   2_500_12_10   10   1070490.0   7742.338277         0
2_500_12_2     2_500_12_2   10   5313494.3  41043.263009         0
2_500_12_20   2_500_12_20   10    544590.8   3794.610705         0
2_500_12_4     2_500_12_4   10   2652741.0  17281.685855         0
2_500_12_50   2_500_12_50   10    229274.1   1363.481936         0
2_500_20_10   2_500_20_10   10    643013.1   4906.463299         0
2_500_20_2     2_500_20_2   10   3209562.1  34160.691193         0
2_500_20_20   2_500_20_20   10    326664.0   2309.955267         0
2_500_20_4     2_500_20_4   10   1595689.2  16640.461484         0
2_500_20_50   2_500_20_50   10    137391.1   1149.164571         0
2_500_4_10     2_500_4_10   10   3199877.7  22940.025129         0
2_500_4_2       2_500_4_2   10  15790184.1 125930.449129         0
2_500_4_20     2_500_4_20   10   1628965.0  10373.505836         0
2_500_4_4       2_500_4_4   10   7902329.4  43340.680978         0
2_500_4_50     2_500_4_50   10    687399.9   3748.533060         0
