                         index file runs obj_mean   obj_sd ttot_mean
10_100_20_10     10_100_20_10   10     10.2 0.421637      0.02
10_100_20_2       10_100_20_2   10     50.0 0.000000      0.02
10_100_20_20     10_100_20_20   10      6.8 0.632456      0.02
10_100_20_4       10_100_20_4   10     25.0 0.000000      0.02
10_100_20_50     10_100_20_50   10      6.4 0.966092      0.02
10_100_4_10       10_100_4_10   10     26.5 2.321398      0.01
10_100_4_2         10_100_4_2   10     50.0 0.000000      0.01
10_100_4_20       10_100_4_20   10     27.9 1.852926      0.01
10_100_4_4         10_100_4_4   10     31.4 1.505545      0.02
10_100_4_50       10_100_4_50   10     28.6 1.837873      0.01
10_1000_20_10   10_1000_20_10   10    104.6 1.897367      0.12
10_1000_20_2     10_1000_20_2   10    500.0 0.000000      0.14
10_1000_20_20   10_1000_20_20   10     76.7 1.159502      0.11
10_1000_20_4     10_1000_20_4   10    250.0 0.000000      0.13
10_1000_20_50   10_1000_20_50   10     76.1 3.900142      0.13
10_1000_4_10     10_1000_4_10   10    294.8 3.155243      0.12
10_1000_4_2       10_1000_4_2   10    501.5 1.080123      0.13
10_1000_4_20     10_1000_4_20   10    302.4 8.329332      0.11
10_1000_4_4       10_1000_4_4   10    308.1 4.012481      0.12
10_1000_4_50     10_1000_4_50   10    316.7 3.465705      0.09
10_500_20_10     10_500_20_10   10     52.7 0.823273      0.04
10_500_20_2       10_500_20_2   10    250.0 0.000000      0.04
10_500_20_20     10_500_20_20   10     37.7 1.766981      0.04
10_500_20_4       10_500_20_4   10    125.0 0.000000      0.04
10_500_20_50     10_500_20_50   10     36.0 1.699673      0.04
10_500_4_10       10_500_4_10   10    147.9 4.306326      0.05
10_500_4_2         10_500_4_2   10    250.5 0.849837      0.03
10_500_4_20       10_500_4_20   10    143.4 3.169297      0.07
10_500_4_4         10_500_4_4   10    153.8 2.616189      0.03
10_500_4_50       10_500_4_50   10    155.0 2.260777      0.06
100_100_20_10   100_100_20_10   10     10.0 0.000000      0.02
100_100_20_2     100_100_20_2   10     50.0 0.000000      0.02
100_100_20_20   100_100_20_20   10      5.0 0.000000      0.04
100_100_20_4     100_100_20_4   10     25.0 0.000000      0.03
100_100_20_50   100_100_20_50   10      2.3 0.483046      0.03
100_100_4_10     100_100_4_10   10     19.6 1.349897      0.02
100_100_4_2       100_100_4_2   10     50.0 0.000000      0.03
100_100_4_20     100_100_4_20   10     18.6 1.349897      0.02
100_100_4_4       100_100_4_4   10     26.1 0.737865      0.03
100_100_4_50     100_100_4_50   10     18.0 1.333333      0.02
100_1000_20_10 100_1000_20_10   10    100.0 0.000000      0.89
100_1000_20_2   100_1000_20_2   10    500.0 0.000000      1.07
