                         index file runs obj_mean   obj_sd ttot_mean
10_100_20_10     10_100_20_10   10     10.2 0.421637      0.01
10_100_20_2       10_100_20_2   10     50.0 0.000000      0.02
10_100_20_20     10_100_20_20   10      7.3 0.674949      0.02
10_100_20_4       10_100_20_4   10     25.0 0.000000      0.02
10_100_20_50     10_100_20_50   10      7.9 0.994429      0.08
10_100_4_10       10_100_4_10   10     34.6 0.699206     14.35
10_100_4_2         10_100_4_2   10     50.0 0.000000      0.02
10_100_4_20       10_100_4_20   10     34.5 0.971825     19.19
10_100_4_4         10_100_4_4   10     34.5 0.971825      1.07
10_100_4_50       10_100_4_50   10     34.2 1.032796     22.94
10_1000_20_10   10_1000_20_10   10    105.4 2.170509      0.11
10_1000_20_2     10_1000_20_2   10    500.0 0.000000      0.13
10_1000_20_20   10_1000_20_20   10     95.7 1.888562     37.90
10_1000_20_4     10_1000_20_4   10    250.0 0.000000      0.10
10_1000_20_50   10_1000_20_50   10     97.7 1.888562    246.76
10_1000_4_10     10_1000_4_10   10    365.0 2.943920    212.03
10_1000_4_2       10_1000_4_2   10    501.7 1.159502      0.10
10_1000_4_20     10_1000_4_20   10    365.7 3.497618    288.48
10_1000_4_4       10_1000_4_4   10    350.3 5.034327     76.76
10_1000_4_50     10_1000_4_50   10    363.5 3.535534    284.69
10_500_20_10     10_500_20_10   10     53.1 0.875595      0.03
10_500_20_2       10_500_20_2   10    250.0 0.000000      0.03
10_500_20_20     10_500_20_20   10     46.6 1.074968     16.90
10_500_20_4       10_500_20_4   10    125.0 0.000000      0.03
10_500_20_50     10_500_20_50   10     48.9 1.370320    104.49
10_500_4_10       10_500_4_10   10    182.2 1.932184     97.60
10_500_4_2         10_500_4_2   10    250.6 0.843274      0.03
10_500_4_20       10_500_4_20   10    181.7 2.311805    130.10
10_500_4_4         10_500_4_4   10    179.3 2.311805     45.64
10_500_4_50       10_500_4_50   10    180.4 1.577621    149.07
100_100_20_10   100_100_20_10   10     10.0 0.000000      0.02
100_100_20_2     100_100_20_2   10     50.0 0.000000      0.03
100_100_20_20   100_100_20_20   10      5.0 0.000000      0.02
100_100_20_4     100_100_20_4   10     25.0 0.000000      0.03
