                         index file runs   obj_mean   obj_sd ttot_mean
10_100_20_10     10_100_20_10   10  10.200000 0.421637      0.02
10_100_20_2       10_100_20_2   10  50.000000 0.000000      0.01
10_100_20_20     10_100_20_20   10   7.300000 0.674949      0.04
10_100_20_4       10_100_20_4   10  25.000000 0.000000      0.01
10_100_20_50     10_100_20_50   10   7.900000 0.994429      0.02
10_100_4_10       10_100_4_10    8  34.625000 0.744024    269.10
10_100_4_2         10_100_4_2   10  50.000000 0.000000      0.01
10_100_4_20       10_100_4_20    3  34.666667 0.577350    332.75
10_100_4_4         10_100_4_4   10  34.500000 0.971825      0.17
10_100_4_50       10_100_4_50    7  34.428571 0.786796    290.42
10_1000_20_10   10_1000_20_10   10 105.400000 2.170509      0.10
10_1000_20_2     10_1000_20_2   10 500.000000 0.000000      0.12
10_1000_20_4     10_1000_20_4   10 250.000000 0.000000      0.12
10_1000_4_2       10_1000_4_2   10 501.700000 1.159502      0.11
10_500_20_10     10_500_20_10   10  53.100000 0.875595      0.03
10_500_20_2       10_500_20_2   10 250.000000 0.000000      0.04
10_500_20_20     10_500_20_20   10  47.200000 1.135292    332.08
10_500_20_4       10_500_20_4   10 125.000000 0.000000      0.04
10_500_4_2         10_500_4_2   10 250.600000 0.843274      0.03
10_500_4_4         10_500_4_4    1 181.000000       NA    660.80
100_100_20_10   100_100_20_10   10  10.000000 0.000000      0.03
100_100_20_2     100_100_20_2   10  50.000000 0.000000      0.03
100_100_20_20   100_100_20_20   10   5.000000 0.000000      0.03
100_100_20_4     100_100_20_4   10  25.000000 0.000000      0.02
100_100_20_50   100_100_20_50   10   2.400000 0.516398      0.03
100_100_4_10     100_100_4_10    3  23.000000 1.000000    265.05
100_100_4_2       100_100_4_2   10  50.000000 0.000000      0.03
100_100_4_4       100_100_4_4   10  26.500000 0.971825      0.03
100_1000_20_10 100_1000_20_10   10 100.000000 0.000000      0.95
100_1000_20_2   100_1000_20_2   10 500.000000 0.000000      0.73
100_1000_20_20 100_1000_20_20   10  57.300000 1.059350     85.97
100_1000_20_4   100_1000_20_4   10 250.000000 0.000000      0.97
100_1000_4_2     100_1000_4_2   10 500.000000 0.000000      0.84
100_500_20_10   100_500_20_10   10  50.000000 0.000000      0.27
100_500_20_2     100_500_20_2   10 250.000000 0.000000      0.27
100_500_20_20   100_500_20_20   10  27.300000 0.674949      0.30
100_500_20_4     100_500_20_4   10 125.000000 0.000000      0.27
100_500_4_2       100_500_4_2   10 250.000000 0.000000      0.24
50_100_20_10     50_100_20_10   10  10.000000 0.000000      0.03
50_100_20_2       50_100_20_2   10  50.000000 0.000000      0.02
50_100_20_20     50_100_20_20   10   5.000000 0.000000      0.02
50_100_20_4       50_100_20_4   10  25.000000 0.000000      0.02
50_100_20_50     50_100_20_50   10   3.100000 0.316228      0.03
50_100_4_2         50_100_4_2   10  50.000000 0.000000      0.03
50_100_4_4         50_100_4_4   10  27.500000 0.707107      0.01
50_1000_20_10   50_1000_20_10   10 100.000000 0.000000      0.50
50_1000_20_2     50_1000_20_2   10 500.000000 0.000000      0.53
50_1000_20_4     50_1000_20_4   10 250.000000 0.000000      0.53
50_1000_4_2       50_1000_4_2   10 500.000000 0.000000      0.45
50_500_20_10     50_500_20_10   10  50.000000 0.000000      0.16
50_500_20_2       50_500_20_2   10 250.000000 0.000000      0.15
50_500_20_20     50_500_20_20   10  29.900000 0.994429      1.19
50_500_20_4       50_500_20_4   10 125.000000 0.000000      0.14
50_500_4_2         50_500_4_2   10 250.000000 0.000000      0.13
