file	obj	ttot	ub
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Acidobacteria.txt.out	0	115.401	0
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Actinobacteria.txt.out	415	1156.34	415
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/BacteriaAll.txt.out	0	2092.34	0
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Aminicenantes.txt.out	1365	342.039	1365
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Aquificae.txt.out	678	178.898	678
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Armatimonadetes.txt.out	496	152.05	496
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Atribacteria.txt.out	1499	289.567	1499
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Bacteroidetes.txt.out	401	456.649	401
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-BRC1.txt.out	669	147.431	669
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Candidatus-Saccharibacteria.txt.out	603	126.782	603
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Chlamydiae.txt.out	835	200.614	835
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Chlorobi.txt.out	758	172.452	758
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Chloroflexi.txt.out	371	80.1207	371
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Chrysiogenetes.txt.out	1162	365.923	1162
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Cyanobacteria-Chloroplast.txt.out	506	204.868	506
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Deferribacteres.txt.out	788	194.616	788
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Deinococcus-Thermus.txt.out	619	206.739	619
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Dictyoglomi.txt.out	1522	432.337	1522
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Elusimicrobia.txt.out	1141	330.72	1141
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Fibrobacteres.txt.out	1123	337.47	1123
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Firmicutes.txt.out	0	349.189	0
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Fusobacteria.txt.out	641	89.0049	641
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Ignavibacteriae.txt.out	1354	464.254	1354
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Latescibacteria.txt.out	738	177.081	738
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Lentisphaerae.txt.out	1112	309.846	1112
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Microgenomates.txt.out	467	98.9063	467
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Nitrospinae.txt.out	1431	455.835	1431
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Nitrospirae.txt.out	810	176.326	810
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Parcubacteria.txt.out	438	71.0606	438
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Planctomycetes.txt.out	635	150.673	635
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Poribacteria.txt.out	332	51.0562	332
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Proteobacteria.txt.out	0	1271.99	0
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Spirochaetes.txt.out	499	129.11	499
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-SR1.txt.out	813	205.955	813
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Synergistetes.txt.out	693	163.783	693
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Tenericutes.txt.out	507	222.003	507
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Thermodesulfobacteria.txt.out	1241	406.482	1241
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Thermotogae.txt.out	598	149.277	598
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-Verrucomicrobia.txt.out	189	39.3068	189
runs/gclcs-real-algorithm-3bw-5000-guidance-1k_best-0feas-0-optimize/Bacteria-WPS-1.txt.out	1358	213.013	1358

