file	obj	ttot	ub
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Acidobacteria.txt.out	0	0	10000
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Actinobacteria.txt.out	410	1017.01	410
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/BacteriaAll.txt.out	0	0	10000
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Aminicenantes.txt.out	1363	25.3069	1363
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Aquificae.txt.out	578	43.017	578
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Armatimonadetes.txt.out	508	62.7953	508
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Atribacteria.txt.out	1496	7.90572	1496
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Bacteroidetes.txt.out	385	450.044	385
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-BRC1.txt.out	672	61.2425	672
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Candidatus-Saccharibacteria.txt.out	601	42.7118	601
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Chlamydiae.txt.out	791	68.837	791
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Chlorobi.txt.out	0	0	10000
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Chloroflexi.txt.out	346	42.0637	346
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Chrysiogenetes.txt.out	1210	67.0261	1210
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Cyanobacteria-Chloroplast.txt.out	475	111.626	475
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Deferribacteres.txt.out	798	132.705	798
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Deinococcus-Thermus.txt.out	612	40.5854	612
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Dictyoglomi.txt.out	0	0	10000
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Elusimicrobia.txt.out	1137	131.499	1137
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Fibrobacteres.txt.out	1120	161.738	1120
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Firmicutes.txt.out	0	0	10000
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Fusobacteria.txt.out	589	87.3846	589
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Ignavibacteriae.txt.out	1351	38.1579	1351
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Latescibacteria.txt.out	709	111.574	709
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Lentisphaerae.txt.out	1109	150.463	1109
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Microgenomates.txt.out	466	53.7254	466
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Nitrospinae.txt.out	0	0	10000
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Nitrospirae.txt.out	805	122.207	805
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Parcubacteria.txt.out	492	72.3186	492
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Planctomycetes.txt.out	653	86.0986	653
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Poribacteria.txt.out	318	42.6871	318
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Proteobacteria.txt.out	0	0	10000
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Spirochaetes.txt.out	500	57.1948	500
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-SR1.txt.out	1023	230.639	1023
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Synergistetes.txt.out	0	0	10000
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Tenericutes.txt.out	507	125.3	507
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Thermodesulfobacteria.txt.out	1233	84.4366	1233
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Thermotogae.txt.out	593	54.544	593
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-Verrucomicrobia.txt.out	0	0	10000
runs/gclcs-real-algorithm-3bw-2000-guidance-1k_best-10feas-1-opt-1/Bacteria-WPS-1.txt.out	1348	38.4039	1348
