instance,A*-obj,A*-time,Autimata-obj,Automata-time
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_100_input.txt.out,2,0.0638461,2,48.38
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_g12.txt.out,108,0.063607,108,9.275
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_g13.txt.out,103,0.0862265,103,7.609
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_g14.txt.out,71,0.0609811,71,3.672
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_g15.txt.out,69,0.0863043,69,6.518
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_g23.txt.out,93,0.153828,93,7.467
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_g24.txt.out,75,0.0545474,75,6.76
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_g25.txt.out,71,0.149678,71,5.306
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_g34.txt.out,69,0.134084,69,5.196
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_g35.txt.out,68,0.084363,68,5.839
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_g45.txt.out,114,0.152059,114,10.367
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_k12.txt.out,107,0.0856781,107,17.533
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_k13.txt.out,111,0.130549,111,12.774
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_k23.txt.out,109,0.0841264,109,11.367
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p12.txt.out,50,0.0763033,50,4.601
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p13.txt.out,47,0.155445,47,4.713
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p14.txt.out,46,0.0787407,46,4.934
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p15.txt.out,41,0.136876,41,4.492
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p16.txt.out,42,0.0343939,42,4.513
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p23.txt.out,48,0.125519,48,4.992
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p24.txt.out,46,0.158129,46,4.3
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p25.txt.out,40,121.491,40,4.388
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p26.txt.out,42,0.0930036,42,4.316
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p34.txt.out,46,0.125587,46,4.621
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p35.txt.out,45,0.137566,45,5.135
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p36.txt.out,40,0.150462,40,4.615
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p45.txt.out,39,0.0722046,39,4.566
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p46.txt.out,45,0.140961,45,4.593
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_p56.txt.out,42,0.065883,42,4.571
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_r12.txt.out,65,0.171245,65,4.959
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_r13.txt.out,52,0.127744,52,4.74
runs/sohel-data_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_r23.txt.out,58,0.0655638,58,4.69
