instance,A*-obj,A*-time,A*-ub,Automaton-obj,Automaton-time
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d21_0.txt.out,46,0.0171855,46,46,1.747
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d21_1.txt.out,41,0.0177156,41,41,1.44
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d21_2.txt.out,44,0.0171952,44,44,1.86
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d21_3.txt.out,43,0.0167021,43,43,2.013
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d21_4.txt.out,46,0.0111034,46,46,2.094
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d21_5.txt.out,46,0.0162141,46,46,2.054
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d21_6.txt.out,44,0.0111908,44,44,1.398
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d21_7.txt.out,47,0.0159076,47,47,1.646
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d21_8.txt.out,43,0.0132316,43,43,1.414
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d21_9.txt.out,45,0.0126918,45,45,1.795
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d22_0.txt.out,115,37.5168,115,115,25.423
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d22_1.txt.out,115,39.7345,115,115,24.871
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d22_2.txt.out,0,0,110,108,12.116
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d22_3.txt.out,0,0,106,103,17.792
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d22_4.txt.out,99,14.5346,99,99,23.604
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d22_5.txt.out,110,1.95208,110,110,22.399
runs/sohel-random_SeqIc-algorithm-0bw-0-guidance-0k_best-0feas-0-opt-2/r_d22_6.txt.out,0,0,101,99,21.12
